,不良(101-199)(站日),縣市,時間
289,0,基隆市,
290,0,新竹縣,
291,0,新竹市,
292,0,苗栗縣,
293,2,臺中市,
294,1,彰化縣,
295,2,南投縣,
296,3,雲林縣,
297,5,嘉義縣,
298,3,嘉義市,
299,11,臺南市,
300,19,高雄市,
301,8,屏東縣,
302,0,宜蘭縣,
303,0,花蓮縣,
304,0,臺東縣,
305,0,金門縣,
306,0,連江縣,
307,0,澎湖縣,
308,1,臺北市,2011年 3月
309,2,新北市,
310,0,桃園市,
311,0,基隆市,
312,0,新竹縣,
313,0,新竹市,
314,0,苗栗縣,
315,0,臺中市,
316,0,彰化縣,
317,0,南投縣,
318,0,雲林縣,
319,0,嘉義縣,
320,0,嘉義市,
321,0,臺南市,
322,0,高雄市,
323,0,屏東縣,
324,0,宜蘭縣,
325,0,花蓮縣,
326,0,臺東縣,
327,0,金門縣,
328,0,連江縣,
329,0,澎湖縣,
330,9,臺北市,2011年 4月
331,14,新北市,
332,6,桃園市,
333,0,基隆市,
334,3,新竹縣,
335,1,新竹市,
336,2,苗栗縣,
337,2,臺中市,
338,1,彰化縣,
339,2,南投縣,
340,2,雲林縣,
341,3,嘉義縣,
342,1,嘉義市,
343,5,臺南市,
344,21,高雄市,
345,6,屏東縣,
346,1,宜蘭縣,
347,2,花蓮縣,
348,0,臺東縣,
349,0,金門縣,
350,0,連江縣,
351,0,澎湖縣,
352,5,臺北市,2011年 5月
353,10,新北市,
354,1,桃園市,
355,0,基隆市,
356,0,新竹縣,
357,0,新竹市,
358,1,苗栗縣,
359,2,臺中市,
360,1,彰化縣,
361,1,南投縣,
362,1,雲林縣,
363,1,嘉義縣,
364,0,嘉義市,
365,1,臺南市,
366,5,高雄市,
367,4,屏東縣,
368,0,宜蘭縣,
369,0,花蓮縣,
370,0,臺東縣,
371,0,金門縣,
372,0,連江縣,
373,0,澎湖縣,
374,4,臺北市,2011年 6月
375,3,新北市,
376,1,桃園市,
377,0,基隆市,
378,0,新竹縣,
379,0,新竹市,
380,2,苗栗縣,
381,4,臺中市,
382,0,彰化縣,
383,2,南投縣,
384,0,雲林縣,
385,0,嘉義縣,
386,0,嘉義市,
387,1,臺南市,
388,8,高雄市,
389,3,屏東縣,
390,0,宜蘭縣,
391,0,花蓮縣,
392,0,臺東縣,
393,0,金門縣,
394,0,連江縣,
395,0,澎湖縣,
396,1,臺北市,2011年 7月
397,1,新北市,
398,0,桃園市,
399,0,基隆市,
400,0,新竹縣,
401,0,新竹市,
402,0,苗栗縣,
403,3,臺中市,
404,1,彰化縣,
405,0,南投縣,
406,0,雲林縣,
407,0,嘉義縣,
408,0,嘉義市,
409,0,臺南市,
410,7,高雄市,
411,2,屏東縣,
412,0,宜蘭縣,
413,0,花蓮縣,
414,0,臺東縣,
